Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,DataStax Luna Standard Support,"$21,330 ",Delivery/Task Order,Final,20343024F00024,0,,4/3/24,2036,203430,ARC DIV PROC SVCS - CFPB,UYLVJZ49BFC6,"4 STAR TECHNOLOGIES, INC.",VIRGINIA 02,234515898,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",SBA Certified HUBZone Firm,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00024&modNumber=0&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,CFPB Expert,"$20,069 ",Definitive Contract,Final,955F9531CB23C0015,P00001,FUNDING ONLY ACTION,12/19/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0015&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,BPA Call for Organization Development for Supervision Examinations,"$19,998 ",BPA Call,Final,955F9531CB24F0060,0,,5/21/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,V1XQY4SUJN25,"DIAMOND, VIRGINIA M",VIRGINIA 11,221241904,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0060&modNumber=0&idvAgencyID=&idvPIID=9531CB21A0011&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Oxford Journals,"$19,366 ",Delivery/Task Order,Final,955F9531CB25F0028,0,,1/16/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,G8SWKDWEM1C7,"UNIVERSITY OF OXFORD, THE",NORTH CAROLINA 02,275132009,"Corporate Entity, Tax Exempt","Non Profit Organization
Educational Entities
Private University or College",,7630,NEWSPAPERS AND PERIODICALS,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0028&modNumber=0&idvAgencyID=&idvPIID=03310323D0034&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Conflict Coach Training,"$17,000 ",BPA Call,Final,955F9531CB24F0053,0,,4/8/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,VGMXJB9KY4L9,"PENINSULA MEDIATION CENTER, INC.",,23175,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0053&modNumber=0&idvAgencyID=&idvPIID=9531CB20A0004&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Conflict Coach Training,"$17,000 ",BPA Call,Final,955F9531CB23F0043,P00001,EXERCISE AN OPTION,1/12/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,VGMXJB9KY4L9,"PENINSULA MEDIATION CENTER, INC.",,23175,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0043&modNumber=P00001&idvAgencyID=&idvPIID=9531CB20A0004&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Certified Information Systems Auditor (CISA) In-person Training,"$15,008 ",Purchase Order,Final,955F9531CB24P0022,0,,6/26/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DUV2C6GUNKM6,"CITIBANK, N.A.",SOUTH DAKOTA 00,571085027,"Corporate Entity, Not Tax Exempt",,,U009,EDUCATION/TRAINING- GENERAL,522110,COMMERCIAL BANKING,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0022&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Mural Software,"$14,456 ",Delivery/Task Order,Final,9531CB25F0034,0,,1/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,CGE8ABMZLZN9,"ADVANCED COMPUTER CONCEPTS, IN",VIRGINIA 11,221023317,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R499,SUPPORT- PROFESSIONAL: OTHER,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0034&modNumber=0&idvAgencyID=&idvPIID=NNG15SD60B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,eQuest Subscription,"$14,375 ",Purchase Order,Final,955F9531CB25P0005,0,,10/3/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DUV2C6GUNKM6,"CITIBANK, N.A.",SOUTH DAKOTA 00,571085027,"Corporate Entity, Not Tax Exempt",,,R699,SUPPORT- ADMINISTRATIVE: OTHER,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0005&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,ATD Forum Membership - FY25,"$13,000 ",Purchase Order,Final,955F9531CB25P0010,0,,11/12/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DUV2C6GUNKM6,"CITIBANK, N.A.",SOUTH DAKOTA 00,571085027,"Corporate Entity, Not Tax Exempt",,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0010&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Fintech Meetup 2025 Meeting Pod Package,"$12,000 ",Purchase Order,Final,955F9531CB25P0011,0,,11/26/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DUV2C6GUNKM6,"CITIBANK, N.A.",SOUTH DAKOTA 00,571085027,"Corporate Entity, Not Tax Exempt",,,X1AB,LEASE/RENTAL OF CONFERENCE SPACE AND FACILI,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0011&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,JSTOR Online Journal,"$11,400 ",Delivery/Task Order,Final,2036 20343024F00050,0,,8/9/24,2036,203430,ARC DIV PROC SVCS - CFPB,KPMZPERLH3X9,"ITHAKA HARBORS, INC.",NEW YORK 10,100061852,"Corporate Entity, Tax Exempt",,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519190,ALL OTHER INFORMATION SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00050&modNumber=0&idvAgencyID=&idvPIID=03310319D0075&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Administrative Law Treatise Current & Archive VitalLaw and Banking
(Limit 250 characters)
Law and Regulation Current & Archive VitalLaw Digital Subscription
Current: 133","$11,000 ",Purchase Order,Final,955F9531CB24P0018,0,,4/19/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DUV2C6GUNKM6,"CITIBANK, N.A.",SOUTH DAKOTA 00,571085027,"Corporate Entity, Not Tax Exempt",,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0018&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Testifying Appraisal Expert,"$10,800 ",Definitive Contract,Final,955F9531CB22C0019,0,,8/19/22,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0019&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Furnishing Expert - modification to update COR,"$10,625 ",Definitive Contract,Final,955F9531CB23C0002,P00001,OTHER ADMINISTRATIVE ACTION,9/25/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0002&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Modification to de-obligate $36,704.70 from BPA Call 24F0039 and
re-obligate funds on BPA 25A0004/Call 9531CB25F0005 to acknowledge
a Novation to GSA Contract GS-28F-016CA from COFCO to Henricksen DC","$8,295 ",BPA Call,Final,9531CB24F0039,P00001,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,11/5/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,ENK2RXS6DBW4,COMMERCIAL OFFICE FURNITURE CO,PENNSYLVANIA 03,191333305,"Corporate Entity, Not Tax Exempt","Women-Owned Business
For Profit Organization",,7290,MISCELLANEOUS HOUSEHOLD AND COMMERCIAL FU,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTUR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0039&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0002&contractType=AWARD
2/18/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Reg Tech Tier 1 and Operational Support Services - Add Funds to
(Limit 250 characters)
CLIN 0006","$9,273,757 ",BPA Call,Final,955F9531CB22F0095,P00007,FUNDING ONLY ACTION,12/19/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,U54SGG4D2WD6,"CENSEO CONSULTING GROUP, INC.",DISTRICT OF COLUMBIA 98,200063760,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned",Self-Certified Small Disadvantaged Business,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0095&modNumber=P00007&idvAgencyID=&idvPIID=9531CB22A0004&contractType=AWARD
2/18/25,CONSUMER FINANCIAL PROTECTION BUREAU,OCRO Management and Strategy Consulting Services - Move Funds,"$6,310,727 ",BPA Call,Final,955F9531CB22F0078,P00009,FUNDING ONLY ACTION,8/1/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,U54SGG4D2WD6,"CENSEO CONSULTING GROUP, INC.",DISTRICT OF COLUMBIA 98,200063760,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned",Self-Certified Small Disadvantaged Business,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0078&modNumber=P00009&idvAgencyID=&idvPIID=9531CB22A0004&contractType=AWARD
2/18/25,CONSUMER FINANCIAL PROTECTION BUREAU,"BPA Call for FY 22 Organization Development Services to extend
period of performance due to Government delays.","$533,785 ",BPA Call,Final,955F9531CB22F0026,P00003,CHANGE ORDER,1/17/23,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,V1XQY4SUJN25,"DIAMOND, VIRGINIA M",VIRGINIA 11,221241904,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0026&modNumber=P00003&idvAgencyID=&idvPIID=9531CB21A0011&contractType=AWARD
2/20/25,CONSUMER PRODUCT SAFETY COMMISSION,News-clips contract,"$224,443 ",Delivery/Task Order,Final,61320620F0010,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/28/20,6100,613206,CONSUMER PRODUCT SAFETY COMMISSI,GR2RF6CLZJJ9,BARBARICUM LLC,DISTRICT OF COLUMBIA 00,200362907,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",SBA Certified HUBZone Firm,7630,NEWSPAPERS AND PERIODICALS,541613,MARKETING CONSULTING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6100&PIID=61320620F0010&modNumber=P00001&idvAgencyID=&idvPIID=GS00F206CA&contractType=AWARD
2/20/25,CONSUMER PRODUCT SAFETY COMMISSION,NEWSCLIPS - new contract,"$276,010 ",Delivery/Task Order,Final,6100 61320620F0025,P00007,OTHER ADMINISTRATIVE ACTION,4/18/24,6100,613206,CONSUMER PRODUCT SAFETY COMMISSI,GR2RF6CLZJJ9,BARBARICUM LLC,DISTRICT OF COLUMBIA 98,200362907,"Corporate Entity, Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Service-Disabled Veteran-Owned Business, Veteran-Owned Business",,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541613,MARKETING CONSULTING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6100&PIID=61320620F0025&modNumber=P00007&idvAgencyID=&idvPIID=GS00F206CA&contractType=AWARD
2/20/25,CONSUMER PRODUCT SAFETY COMMISSION,News Release Distribution Service,"$187,514 ",Purchase Order,Final,6100 61320621P0034,P00005,FUNDING ONLY ACTION,12/2/24,6100,613206,CONSUMER PRODUCT SAFETY COMMISSI,L5QPKVM8CLM3,PR NEWSWIRE ASSOCIATION LLC,NEW YORK 11,102811069,For Profit Organization,,,R499,SUPPORT- PROFESSIONAL: OTHER,511110,NEWSPAPER PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6100&PIID=61320621P0034&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,Notice of Termination for Convenience.,"$24,250 ",Purchase Order,Final,9531BL24P0278,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),9/1/24,9511,9531BL,COUNCIL OF THE INSPECTORS GENERAL,T8JGE1LE8933,"POLITICO, LLC",VIRGINIA 08,222093927,Partnership or Limited Liability Partnership,,,DD01,IT AND TELECOM - SERVICE DELIVERY SUPPORT SE,516210,"MEDIA STREAMING DISTRIBUTION SERVICES, SOCIA",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9511&PIID=9531BL24P0278&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
1/22/25,DEPARTMENT OF AGRICULTURE,"Diversity, Equity, Inclusion and Accessibility (DEIA) Assessment
(Limit 250 characters)
Current: 86 and Training services","$25,000,000 ",BPA,Final,12F212319823A0004,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/22/25,12F2,123198,USDA FNS,ZDMJM1T8SCD3,K.L. SCOTT & ASSOCIATES LLC,GEORGIA 05,303031400,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned","SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823A0004&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D00GU&contractType=IDV
1/22/25,DEPARTMENT OF AGRICULTURE,"Diversity, Equity, Inclusion and Accessibility (DEIA) Assessment
(Limit 250 characters)
Current: 86 and Training services","$25,000,000 ",BPA,Final,12F212319823A0003,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/22/25,12F2,123198,USDA FNS,GPVGL2T8SN53,AMA CONSULTING LLC,MARYLAND 04,207074011,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business","DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823A0003&modNumber=P00001&idvAgencyID=&idvPIID=GS00F191GA&contractType=IDV
1/22/25,DEPARTMENT OF AGRICULTURE,"Diversity, Equity, Inclusion and Accessibility (DEIA) Assessment
(Limit 250 characters)
Current: 86 and Training services","$25,000,000 ",BPA,Final,12F212319823A0005,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/22/25,12F2,123198,USDA FNS,LMJJFDN4WC91,"IVY PLANNING GROUP, LLC",MARYLAND 08,208177500,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business",DoT Certified Disadvantaged Business Enterprise,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823A0005&modNumber=P00001&idvAgencyID=&idvPIID=GS00F404GA&contractType=IDV
1/22/25,DEPARTMENT OF AGRICULTURE,"To support the implementation of USDA's Diversity, Equity,
Inclusion, and Accessibility (DEIA) Project Management and Data
Analytics.","$2,035,756 ",Definitive Contract,Final,12314423C0053,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/24/25,1205,123144,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",LT5RY4N4EJW3,TIMOTHY J LONDAGIN LLC,DISTRICT OF COLUMBIA 98,200091789,Partnership or Limited Liability Partnership,"American Indian Owned
Minority-Owned Business
Native American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423C0053&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
1/28/25,DEPARTMENT OF AGRICULTURE,"Diversity, Equity, Inclusion, and Accessibility Training. Exercise
Optional Task 1.7. - The purpose of this modification is to
terminate the BPA Call Order in its entirety for the
","$414,892 ",BPA Call,Final,12F212319823F0065,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/22/25,12F2,123198,USDA FNS,ZDMJM1T8SCD3,K.L. SCOTT & ASSOCIATES LLC,GEORGIA 05,303031400,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation","Minority-Owned Business
Black American Owned","SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823F0065&modNumber=P00002&idvAgencyID=&idvPIID=12319823A0004&contractType=AWARD
1/30/25,DEPARTMENT OF AGRICULTURE,"Diversity, Equity, Inclusion and Accessibility (DEIA) Assessment
(Limit 250 characters)
Current: 86 and Training services","$25,000,000 ",BPA,Final,12319823A0007,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/22/25,12F2,123198,USDA FNS,LT5RY4N4EJW3,"TIMOTHY J. LONDAGIN, LLC",DISTRICT OF COLUMBIA 98,200091789,Partnership or Limited Liability Partnership,"American Indian Owned, Minority-Owned Business, Native American Owned","SBA Certified 8(a) Program Participant, Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823A0007&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA21D005Z&contractType=IDV
1/30/25,DEPARTMENT OF AGRICULTURE,"Office of Communication Parent BPA for Communities of Color
(Limit 250 characters)","$7,500,000 ",BPA,Final,12318723A0005,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/29/25,12C2,123187,USDA FOREST SERVICE,W3ZMR6GUM5W9,HISPANIC COMMUNICATIONS NETWOR,DISTRICT OF COLUMBIA 98,200451811,"Corporate Entity, Not Tax Exempt",,,R499,SUPPORT- PROFESSIONAL: OTHER,541613,MARKETING CONSULTING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723A0005&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA22D00EA&contractType=IDV
1/30/25,DEPARTMENT OF AGRICULTURE,"The purpose of this modification is to de-obligate remaining funds
of $107,372.56 and execute a closeout of this task order due to a
Termination for Convenience.","$2,473,872 ",Delivery/Task Order,Final,12C212318723F0652,P00004,CLOSE OUT,1/29/25,12C2,123187,USDA FOREST SERVICE,PLSZM1MAB7Y8,"FEDERAL MANAGEMENT PARTNERS, L",VIRGINIA 08,222062283,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation",SBA-Certified Women-Owned Small Business,,R699,SUPPORT- ADMINISTRATIVE: OTHER,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0652&modNumber=P00004&idvAgencyID=&idvPIID=GS35F013CA&contractType=AWARD
1/30/25,DEPARTMENT OF AGRICULTURE,"CR DEI LEP aLanguage Bank via Task Order modification to execute
De-obligation and Closeout due to Termination of Convenience for
the Government","$170,000 ",BPA Call,Final,12C212318723F0208,P00005,CLOSE OUT,1/28/25,12C2,123187,USDA FOREST SERVICE,GL2FLLJD7MH8,"SCHREIBER TRANSLATIONS, INC.",MARYLAND 08,208502420,"Corporate Entity, Not Tax Exempt",Women-Owned Business,,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTE,541930,TRANSLATION AND INTERPRETATION SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0208&modNumber=P00005&idvAgencyID=&idvPIID=12318722A0017&contractType=AWARD
1/31/25,DEPARTMENT OF AGRICULTURE,IP Values and DEIAR Course Delivery,"$293,632 ",BPA Call,Final,12C212318724F0032,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/30/25,12C2,123187,USDA FOREST SERVICE,C9EYZJCTEYQ6,TRAINING RESOURCES GROUP INC,VIRGINIA 08,222031867,"Corporate Entity, Not Tax Exempt
For Profit Organization",,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0032&modNumber=P00002&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD
1/31/25,DEPARTMENT OF AGRICULTURE,WEPO Equity/Environmental Justice Assessments and Speaker Series.,"$11,785 ",BPA Call,Final,12C212318724F0354,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/30/25,12C2,123187,USDA FOREST SERVICE,ECJVQLHA41R5,METROPOLITAN GROUP L.L.C.,OREGON 01,972042519,Partnership or Limited Liability Partnership,,,R422,SUPPORT- PROFESSIONAL: MARKET RESEARCH/PUB,541910,MARKETING RESEARCH AND PUBLIC OPINION POLLI,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0354&modNumber=P00001&idvAgencyID=&idvPIID=12344V19A0003&contractType=AWARD
2/4/25,DEPARTMENT OF AGRICULTURE,"USDA Communications Campaign to Cultivate the Next Generation of
(Limit 250 characters)Diverse Agricultural Professionals - NextGen Programs","$1,010,208 ",Delivery/Task Order,Final,1205 12314423F0806,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/3/25,1205,123144,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",KZGME9EKVP85,"LEONARD RESOURCE GROUP, INC., TH",DISTRICT OF COLUMBIA 98,200361773,"Corporate Entity, Not Tax Exempt",For Profit Organization,SBA Certified HUBZone Firm,R701,SUPPORT- MANAGEMENT: ADVERTISING,541430,GRAPHIC DESIGN SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0806&modNumber=P00002&idvAgencyID=&idvPIID=GS07F409AA&contractType=AWARD
