Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
CONSUMER FINANCIAL PROTECTION BUREAU,NEW RELIC LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00049&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC82B&contractType=AWARD,"$45,321 ",Delivery/Task Order,Final,20343024F00049,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,XK11LLUL61A7,"NEW TECH SOLUTIONS, INC.",CALIFORNIA 17,945386355,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",8/12/24,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,Termination for Convenience per directive - New Relic License,
CONSUMER FINANCIAL PROTECTION BUREAU,DELL POWEREDGE SERVER MAINTENANCE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00017&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD24B&contractType=AWARD,"$41,901 ",Delivery/Task Order,Final,20343024F00017,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,DJJ8LJTNK156,TECHANAX LLC,VIRGINIA 07,221931471,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,3/1/24,,,7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE,541519,OTHER COMPUTER RELATED SERVICES,Dell PowerEdge Server Maintenance,
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT CONTRACT-GLM-LD,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0023&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$40,800 ",Definitive Contract,Final,955F9531CB23C0023,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,CK69RC2AMAK6,GREAT LAKES MARKETING ASSOCIATE,OHIO 09,436061337,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,7/27/23,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Expert Contract-GLM-LD modification to terminate for convenience of
the Government",
CONSUMER FINANCIAL PROTECTION BUREAU,TRANSLATION AND INTERPRETATION SERVICES - ENFORCEMENT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0071&modNumber=P00002&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,"$40,005 ",BPA Call,Final,955F9531CB24F0071,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JT4DBMHH58F3,HUMAN TOUCH TRANSLATIONS LTD.,NEW YORK 03,110303022,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,7/11/24,,,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTE,541930,TRANSLATION AND INTERPRETATION SERVICES,"Translation and Interpretation Services - Enforcement - Termination
for Convenience",
CONSUMER FINANCIAL PROTECTION BUREAU,TERRITORIES EXPERT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$28,000 ",Definitive Contract,Final,955F9531CB23C0006,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,FREGXJ6KBEB7,STEVEN VELEZ ORTA,,00966,Sole Proprietorship,"Individual or concern, other than one of the preceding",,3/13/23,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,"Territories Expert
(Limit 250 characters)",
CONSUMER FINANCIAL PROTECTION BUREAU,"CONSUMER CREDIT INFORMATION PANEL, MAKING ENDS MEET",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343025F00001&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$27,112 ",Delivery/Task Order,Final,2036 20343025F00001,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt",,,9/30/25,,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,561450,CREDIT BUREAUS,"Consumer Credit Information Panel, Making Ends Meet",
CONSUMER FINANCIAL PROTECTION BUREAU,MAKING ENDS MEET - CREDIT PANEL DATA FOR PREVIOUS SURVEY RESPONDENTS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00039&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$26,322 ",Delivery/Task Order,Final,2036 20343024F00039,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt",,,9/30/24,,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,561450,CREDIT BUREAUS,"Making Ends Meet - Credit Panel Data for Previous Survey
(Limit 250 characters)
Respondents",
CONSUMER FINANCIAL PROTECTION BUREAU,EXAMINER IN CHARGE PROJECT MANAGEMENT COURSE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$24,942 ",Purchase Order,Final,955F9531CB24P0019,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,D4GHUJ79V9A9,"FORWARD MOMENTUM, L.L.C",NORTH CAROLINA 12,280318735,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation
For Profit Organization","Women-Owned Business
Women-Owned Small Business",,5/20/24,,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,"Examiner in Charge Project Management Course - Termination for
Convenience",
CONSUMER FINANCIAL PROTECTION BUREAU,VIRTUAL EFFECTIVE EDGE TRAINING COURSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00006&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$16,470 ",Purchase Order,Final,2036 20343024P00006,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,PRRKZC5GHB45,EFFECTIVE EDGE WORLDWIDE LLC,COLORADO 04,801359414,Partnership or Limited Liability Partnership,"Women-Owned Business
Women-Owned Small Business
Self-Certified Small Disadvantaged Business",,9/16/24,,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,Virtual Effective Edge Training Courses,
CONSUMER FINANCIAL PROTECTION BUREAU,APPLECARE OS SUPPORT - PREFERRED,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00012&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC70B&contractType=AWARD,"$16,309 ",Delivery/Task Order,Final,2036 20343024F00012,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,NKC2AB3ESFP5,"DH TECHNOLOGIES, INC.",VIRGINIA 10,201763376,"Corporate Entity, Not Tax Exempt",SBA Certified HUBZone Firm,,3/1/24,,,7B20,IT AND TELECOM - HIGH PERFORMANCE COMPUTE (,541519,OTHER COMPUTER RELATED SERVICES,AppleCare OS Support - Preferred,
CONSUMER FINANCIAL PROTECTION BUREAU,MURAL BUSINESS EDITION LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00032&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,"$14,569 ",Delivery/Task Order,Final,20343024F00032,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,FBRMCGPMN963,ENTERPRISE TECHNOLOGY SOLUTION,MARYLAND 04,207401346,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",SBA Certified HUBZone Firm,5/31/24,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,Mural Business Edition Licenses,
CONSUMER FINANCIAL PROTECTION BUREAU,NEW ORDER FOR ONSITE/VIRTUAL ACQUISITION TRAINING,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00023&modNumber=P00001&idvAgencyID=&idvPIID=20343020A00002&contractType=AWARD,"$13,097 ",BPA Call,Final,20343024F00023,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, IN",VIRGINIA 11,221023470,"Corporate Entity, Not Tax Exempt",Service-Disabled Veteran-Owned Business Veteran-Owned Business,,9/24/24,,,U099,EDUCATION/TRAINING- OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,onsite/virtual Acquisition training,
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CONSULTING SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0005&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D001P&contractType=IDV,"$100,000,000 ",BPA,Final,955F9531CB22A0005,P00003,EXERCISE AN OPTION,12/11/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,1/18/22,1/17/26,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Management and Strategy Consulting Services - option exercise,
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CONSULTING SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0007&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D005Z&contractType=IDV,"$100,000,000 ",BPA,Final,955F 9531CB22A0007,P00003,EXERCISE AN OPTION,12/11/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,PLSZM1MAB7Y8,"FEDERAL MANAGEMENT PARTNERS, L",VIRGINIA 08,222062283,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,1/18/22,1/17/26,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Management and Strategy Consulting Services - option exercise,
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CONSULTING SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0010&modNumber=P00002&idvAgencyID=&idvPIID=GS00F045DA&contractType=IDV,"$100,000,000 ",BPA,Final,955F9531CB22A0010,P00002,EXERCISE AN OPTION,12/11/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,N9NJK877QJK9,GUIDEHOUSE INC.,VIRGINIA 11,221023600,"Corporate Entity, Not Tax Exempt",,,1/18/22,1/17/26,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Management and Strategy Consulting Services exercise option,
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CONSULTING SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0006&modNumber=P00003&idvAgencyID=&idvPIID=GS00F290CA&contractType=IDV,"$100,000,000 ",BPA,Final,955F9531CB22A0006,P00003,EXERCISE AN OPTION,12/11/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,ECMMFNMSLXM7,ERNST & YOUNG LLP,NEW YORK 12,100012177,Partnership or Limited Liability Partnership,,,1/18/22,1/17/26,,R799,SUPPORT- MANAGEMENT: OTHER,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,Management and Strategy Consulting Services - exercise option,
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CONSULTING SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0008&modNumber=P00003&idvAgencyID=&idvPIID=GS00F348CA&contractType=IDV,"$100,000,000 ",BPA,Final,955F9531CB22A0008,P00003,EXERCISE AN OPTION,12/11/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,CSPNRK2TA2X3,FORS MARSH GROUP LLC,VIRGINIA 08,222031665,"Corporate Entity, Not Tax Exempt",,,1/18/22,1/17/26,,R799,SUPPORT- MANAGEMENT: OTHER,541910,MARKETING RESEARCH AND PUBLIC OPINION POLL,Management and Strategy Consulting Services - option exercise,
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CONSULTING SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0004&modNumber=P00004&idvAgencyID=&idvPIID=GS10F0052R&contractType=IDV,"$100,000,000 ",BPA,Final,955F9531CB22A0004,P00004,EXERCISE AN OPTION,12/11/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,U54SGG4D2WD6,"CENSEO CONSULTING GROUP, INC.",DISTRICT OF COLUMBIA 98,200063760,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned",Self-Certified Small Disadvantaged Business,1/18/22,1/17/26,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Management and Strategy Consulting Services - exercise option,
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CONSULTING SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0003&modNumber=P00003&idvAgencyID=&idvPIID=GS35F540GA&contractType=IDV,"$100,000,000 ",BPA,Final,955F 9531CB22A0003,P00003,EXERCISE AN OPTION,12/11/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,VIRGINIA 08,222032151,"Corporate Entity, Not Tax Exempt",,,1/18/22,1/17/26,,R799,SUPPORT- MANAGEMENT: OTHER,541512,COMPUTER SYSTEMS DESIGN SERVICES,Management and Strategy Consulting Services - exercise option,
CONSUMER FINANCIAL PROTECTION BUREAU,PMO SUPPORT SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0087&modNumber=P00006&idvAgencyID=&idvPIID=47QTCA21D007D&contractType=AWARD,"$65,495,874 ",Delivery/Task Order,Final,955F9531CB23F0087,P00006,EXERCISE AN OPTION,7/31/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,PMMJGA331CY6,"FEDSIGHT-JPI JV, LLC",VIRGINIA 10,201753017,"Partnership or Limited Liability Partnership
For Profit Organization
Limited Liability Corporation",Self-Certified HUBZone Joint Venture,,8/31/23,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541519,OTHER COMPUTER RELATED SERVICES,PMO Support Services - option exercise,
CONSUMER FINANCIAL PROTECTION BUREAU,ENTERPRISE ARCHITECTURE AND ENTERPRISE GOVERNANCE SUPPORT SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0062&modNumber=P00008&idvAgencyID=&idvPIID=GS35F540GA&contractType=AWARD,"$23,621,838 ",Delivery/Task Order,Final,955F9531CB22F0062,P00008,EXERCISE AN OPTION,9/18/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,VIRGINIA 08,222032151,"Corporate Entity, Not Tax Exempt",,,8/8/22,,,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERV,541512,COMPUTER SYSTEMS DESIGN SERVICES,EAEG -,
CONSUMER FINANCIAL PROTECTION BUREAU,DATA SHARING SUPPORT SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0060&modNumber=P00006&idvAgencyID=&idvPIID=GS00F290CA&contractType=AWARD,"$20,589,454 ",Delivery/Task Order,Final,955F9531CB23F0060,P00006,EXERCISE AN OPTION,3/25/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,ECMMFNMSLXM7,ERNST & YOUNG LLP,NEW YORK 12,100012177,Partnership or Limited Liability Partnership,,,9/15/23,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,Data Sharing Support Services - option,
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - ATTORNEY SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21D0007&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,"$20,000,000 ",Other IDC,Final,955F9531CB21D0007,P00004,OTHER ADMINISTRATIVE ACTION,10/28/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,F8GUESLHSWJ7,"GAP SOLUTIONS, INC.",VIRGINIA 11,201705336,"Corporate Entity, Not Tax Exempt",,,8/4/21,8/3/25,,R418,SUPPORT- PROFESSIONAL: LEGAL,541199,ALL OTHER LEGAL SERVICES,"Legal Support Services - Attorney Services - Modification to update
the COR",
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - ATTORNEY SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21D0008&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=IDV,"$20,000,000 ",Other IDC,Final,955F9531CB21D0008,P00005,OTHER ADMINISTRATIVE ACTION,10/25/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,G2PCXNTLPJM4,JOHN J. YIM & ASSOCIATES LLC,VIRGINIA 11,221822219,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Asian-Pacific American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",8/4/21,8/3/25,,R418,SUPPORT- PROFESSIONAL: LEGAL,541199,ALL OTHER LEGAL SERVICES,"Legal Support Services - Attorney Services - Modification to update
the COR",
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - ATTORNEY SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21D0009&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,"$20,000,000 ",Other IDC,Final,955F9531CB21D0009,P00004,OTHER ADMINISTRATIVE ACTION,10/25/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,T3XMNLBJ6N33,"JURISOLUTIONS, INC.",PENNSYLVANIA 03,191021725,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,8/4/21,8/3/25,,R418,SUPPORT- PROFESSIONAL: LEGAL,541199,ALL OTHER LEGAL SERVICES,"Legal Support Services - Attorney Services - Modification to update
(Limit 250 characters) Current: 75 the COR",
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - ATTORNEY SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21D0010&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=IDV,"$20,000,000 ",Other IDC,Final,955F9531CB21D0010,P00006,OTHER ADMINISTRATIVE ACTION,10/28/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,DMUTE2RN5D71,"O'RIORDAN BETHEL LAW FIRM, LLP",DISTRICT OF COLUMBIA 98,200361602,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",8/4/21,8/3/25,,R418,SUPPORT- PROFESSIONAL: LEGAL,541199,ALL OTHER LEGAL SERVICES,"Legal Support Services - Attorney Services - Modification to change
(Limit 250 characters)
Current: 75 the COR",
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE CHIEF DATA OFFICER (OCDO) SUPPORT SERVICES BPA CALL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0093&modNumber=P00005&idvAgencyID=&idvPIID=9531CB22A0005&contractType=AWARD,"$17,865,471 ",BPA Call,Final,955F9531CB23F0093,P00005,OTHER ADMINISTRATIVE ACTION,11/18/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,8/7/23,,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Modification to OCDO Support Services BPA call to update Account
(Limit 250 characters)",
CONSUMER FINANCIAL PROTECTION BUREAU,EDITORIAL SUPPORT SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23A0018&modNumber=P00003&idvAgencyID=&idvPIID=GS35F0677V&contractType=IDV,"$15,000,000 ",BPA,Final,955F9531CB23A0018,P00003,OTHER ADMINISTRATIVE ACTION,9/27/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,M1KKZ8DT7VT1,FORUM ONE COMMUNICATIONS CORP,VIRGINIA 08,222024823,"For Profit Organization
Subchapter S Corporation",,,5/11/23,11/9/28,,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,541519,OTHER COMPUTER RELATED SERVICES,Modification to update COR and Vendor POC,
